Song,
Down,
Sugar (feat. Francesco Yates),
Prayer In C (Robin Schulz Radio Edit),
Crazy (feat. Joie Tan) [Radio Mix],
Destiny,
Habits (Stay High),
This Is What You Came For (feat. Rihanna),
Feel so Close (Radio Edit),
1901,
Me & Mr. Jones,
Walking On a Dream,
High and Low,
My Way,
Seven Nation Army,
Sugar,
Snowflakes (Radio Edit),
A Sky Full of Stars (Robin Schulz Edit),
Crazy,
New Soul,
Animal (Mark Ronson Remix),
Treasure,
This Girl (Kungs Vs. Cookin' On 3 Burners),
Landscape,
Conga Fury,
Can't Feel My Face,
Kansas City,
Did You Hear the Rain?,
Budapest,
Barcelona,
Shape of You,
Elementary Particles (re-edit),
Misery Business,
Black & Gold (Marcussen Album Version),
Postcards from Hell,
Elephant Machine,
Carnival,
L.A. Song,
Wonderwall,
Art Of Motion,
Drifting,
"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",
Just Give Me a Reason (feat. Nate Ruess),
Get Lucky (feat. Pharrell Williams & Nile Rodgers),
Good Times,
Give Me the Night,
The Girl from Ipanema (feat. Astrud Gilberto & Antônio Carlos Jobim) [Single Version],
How to Save a Life,
Mo Money Mo Problems (feat. Mase & Puff Daddy) [2014 Remastered Version],
Juicy,
Big Poppa,
Hypnotize,
Fancy (feat. Charli XCX),
Rockabye (feat. Sean Paul & Anne-Marie),
There's Nothing Holdin' Me Back,
Little Red Corvette (2019 Remaster),
Love the Way You Lie (feat. Rihanna),
Guaranteed,
Otherside,
California Love,
Scar Tissue,
Passionfruit,
Friends,
Feel It Still,
Purple Yellow Red and Blue,
Sorry Not Sorry (Acoustic),
Pumped Up Kicks,
Cabin by the Sea,
How Long,
Attention,
Mercy (Acoustic),
Strip That Down (feat. Quavo),
Wild Thoughts (feat. Rihanna & Bryson Tiller),
Pizza,
Paradinha,
The Heart Wants What It Wants,
Saturday Night (Heart On Drugs),
Fireball (feat. John Ryan),
G Code,
Apologize,
Too Good at Goodbyes,
Stash,
It Ain't Me,
Kiss You All Over,
Cake by the Ocean,
Power Trip (feat. Miguel),
Down the Road,
Good Times Roll,
A Fine Way to Die (feat. Orlando Napier),
New Rules,
Keep Your Head,
Classical Gas,
Good Old Days (feat. Kesha),
"Baby, What a Big Surprise",
Urgent,
Superman,
Wait (feat. A Boogie wit da Hoodie),
To My Love (Tainy Remix),
Pray For Me,
Heathens (feat. MUTEMATH),
Devil in Me (feat. Joe Killington & Duane Harden),
Sunny,
Bread,
Love Me Again,
Africa,
Believer,
Thunder,
Bad at Love,
Summertime Sadness,
The Hills,
Wonderwall (Remastered),
Dani California,
Skating Away (On the Thin Ice of the New Day),
Spanish Harlem,
Let Me Love You (feat. Justin Bieber),
Can't Hold Us (feat. Ray Dalton),
Take on Me,
Blurred Lines (feat. T.I. & Pharrell),
Thrift Shop (feat. Wanz),
Apologize (feat. OneRepublic),
Ms. Jackson,
